 1500 25 0
 51 79 73 70 53 53 51
 84 72 68 89 65 62 96
 76 78 94 63 82 61 66
 55 60 63 50 63 91 65
 64 55 80 74 95 96 56
 90 91 60 59 68 80 82
 100 70 52 79 62 51 78
 95 56 81 75 50 80 84
 83 92 54 72 57 87 84
 53 94 75 79 63 84 57
 60 92 92 60 53 72 82
 69 84 88 58 70 85 82
 55 60 93 87 95 81 67
 53 65 76 69 92 71 76
 76 61 75 70 91 95 60
 70 50 91 65 60 98 55
 84 75 84 94 63 98 78
 64 85 53 79 65 66 99
 77 75 78 71 90 56 98
 65 75 85 90 54 68 54
 65 95 83 64 87 63 79
 83 70 61 80 51 93 55
 62 63 83 100 75 55 91
 53 79 71 61 91 76 50
 93 89 57 77 60 60 54
 93 53 70 69 74 84 82
 75 90 66 70 95 91 100
 98 51 71 54 87 67 73
 65 80 74 56 89 86 56
 75 77 91 91 51 92 86
 94 95 62 64 72 53 56
 97 57 98 94 95 77 63
 58 51 55 53 96 70 92
 86 75 84 79 65 72 87
 53 66 64 80 76 87 80
 50 60 86 70 56 76 97
 84 58 54 88 68 58 67
 100 55 85 86 78 72 75
 64 80 73 94 81 86 60
 66 77 58 59 82 60 96
 87 71 86 88 83 80 69
 50 77 50 73 73 88 59
 83 77 89 93 79 99 73
 83 63 89 55 85 67 86
 88 96 55 93 75 98 84
 51 75 62 86 65 54 98
 57 73 87 56 70 62 96
 94 64 90 82 56 64 59
 68 77 94 73 81 84 70
 55 93 71 95 98 99 80
 97 56 77 75 90 50 88
 95 68 60 72 97 51 88
 98 62 79 93 86 54 50
 89 96 79 50 86 82 68
 54 70 81 60 61 51 61
 64 64 65 93 54 58 90
 76 50 80 71 74 86 68
 68 76 97 92 85 68 87
 68 80 51 59 56 61 75
 81 98 74 71 72 82 69
 92 88 94 60 92 63 69
 77 85 65 50 60 85 58
 86 57 95 78 51 73 51
 50 73 71 50 76 100 88
 82 70 50 65 55 87 57
 84 81 74 79 80 97 93
 91 98 88 67 68 71 85
 91 69 58 92 79 62 80
 75 99 87 61 90 75 71
 96 82 92 62 53 55 86
 100 59 61 50 77 67 74
 90 53 81 76 64 64 95
 80 78 96 67 81 55 82
 63 63 64 71 61 69 57
 76 63 76 85 59 70 56
 68 67 54 76 56 95 97
 84 82 92 91 85 94 93
 97 70 86 56 74 77 86
 94 76 83 50 61 74 85
